before propagation,8,5,5,5,7,7,7,4,7,7,7,7,7,5,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
after propagation,8,5,5,5,7,5,4,4,4,4,7,5,6,5,3,4,5,4,5,4,6,5,6,4,4,5,4,7,5,5,4,5,5
