sparsity,performance,config_list
0.1,0.9169,"[{""sparsity"": 0.0, ""op_names"": [""features.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.01989995995708754, ""op_names"": [""features.5""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.028975859200672388, ""op_names"": [""features.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06017808750265475, ""op_names"": [""features.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06897469049764142, ""op_names"": [""features.12""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0731816365528511, ""op_names"": [""features.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07572875810591667, ""op_names"": [""features.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.08794405848799049, ""op_names"": [""features.19""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10651484916460383, ""op_names"": [""features.21""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10909833613697124, ""op_names"": [""features.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10959606351261329, ""op_names"": [""features.26""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12699954000371916, ""op_names"": [""features.28""], ""op_types"": [""Conv2d""]}]"
0.1,0.9176,"[{""sparsity"": 0.0, ""op_names"": [""features.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.5""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.12""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.02843178422886536, ""op_names"": [""features.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07468665951678544, ""op_names"": [""features.19""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1193566234135238, ""op_names"": [""features.21""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13475047138642776, ""op_names"": [""features.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13841090261276526, ""op_names"": [""features.26""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.14209067646934875, ""op_names"": [""features.28""], ""op_types"": [""Conv2d""]}]"
0.1,0.9181,"[{""sparsity"": 0.0, ""op_names"": [""features.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.5""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.12""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.08753513506531424, ""op_names"": [""features.19""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1092067511498472, ""op_names"": [""features.21""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1292685992884338, ""op_names"": [""features.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1398238487882791, ""op_names"": [""features.26""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.15767696273738577, ""op_names"": [""features.28""], ""op_types"": [""Conv2d""]}]"
0.1,0.9184,"[{""sparsity"": 0.0, ""op_names"": [""features.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.5""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.003679842501541199, ""op_names"": [""features.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.01160472486041241, ""op_names"": [""features.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.012741713875254045, ""op_names"": [""features.12""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06210732541873604, ""op_names"": [""features.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06319581137224699, ""op_names"": [""features.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10119460036392536, ""op_names"": [""features.19""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10839220818893953, ""op_names"": [""features.21""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.11012227530795358, ""op_names"": [""features.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1120269553997586, ""op_names"": [""features.26""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13978481374376373, ""op_names"": [""features.28""], ""op_types"": [""Conv2d""]}]"
0.1,0.9181,"[{""sparsity"": 0.0, ""op_names"": [""features.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.5""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.12""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.00812407134237169, ""op_names"": [""features.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06334870853269392, ""op_names"": [""features.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0746021339927477, ""op_names"": [""features.19""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.09126363349660585, ""op_names"": [""features.21""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.11685463646268175, ""op_names"": [""features.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.138620726427864, ""op_names"": [""features.26""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.16846522324505736, ""op_names"": [""features.28""], ""op_types"": [""Conv2d""]}]"
0.1,0.918,"[{""sparsity"": 0.0, ""op_names"": [""features.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.5""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.12""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06763449425001022, ""op_names"": [""features.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07188846262220312, ""op_names"": [""features.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07992969913857072, ""op_names"": [""features.19""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10697719672073996, ""op_names"": [""features.21""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.11149215971425226, ""op_names"": [""features.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13299464885823534, ""op_names"": [""features.26""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13926479831380575, ""op_names"": [""features.28""], ""op_types"": [""Conv2d""]}]"
0.1,0.9181,"[{""sparsity"": 0.0, ""op_names"": [""features.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.5""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.014585523475221846, ""op_names"": [""features.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.020207613520917534, ""op_names"": [""features.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.046291546538907116, ""op_names"": [""features.12""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.04691915195438421, ""op_names"": [""features.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.056349180795365904, ""op_names"": [""features.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07292414175846504, ""op_names"": [""features.19""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07605123194808604, ""op_names"": [""features.21""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.08852721594945542, ""op_names"": [""features.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12785300512735173, ""op_names"": [""features.26""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.20324132753262064, ""op_names"": [""features.28""], ""op_types"": [""Conv2d""]}]"
0.1,0.9174,"[{""sparsity"": 0.0, ""op_names"": [""features.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.005639767170596645, ""op_names"": [""features.5""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.02297778273902679, ""op_names"": [""features.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.03600695020269251, ""op_names"": [""features.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.03902650943630734, ""op_names"": [""features.12""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.050351505340408456, ""op_names"": [""features.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.050502533811882765, ""op_names"": [""features.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06276731575686158, ""op_names"": [""features.19""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06476892823731686, ""op_names"": [""features.21""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.08012296193899539, ""op_names"": [""features.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12315817325230646, ""op_names"": [""features.26""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.23898629354146528, ""op_names"": [""features.28""], ""op_types"": [""Conv2d""]}]"
0.1,0.9172,"[{""sparsity"": 0.0, ""op_names"": [""features.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.5""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.02892402141141417, ""op_names"": [""features.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06422941012690661, ""op_names"": [""features.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07178823378996198, ""op_names"": [""features.12""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07502347425130085, ""op_names"": [""features.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0777451262572085, ""op_names"": [""features.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.08041462258166554, ""op_names"": [""features.19""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10099553928039715, ""op_names"": [""features.21""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10465011609832263, ""op_names"": [""features.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.11272071130261403, ""op_names"": [""features.26""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13931952232587025, ""op_names"": [""features.28""], ""op_types"": [""Conv2d""]}]"
0.1,0.9172,"[{""sparsity"": 0.0, ""op_names"": [""features.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0, ""op_names"": [""features.5""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.012140492666537495, ""op_names"": [""features.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.024922456381648056, ""op_names"": [""features.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.03500634103006443, ""op_names"": [""features.12""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.048423773005130004, ""op_names"": [""features.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06552967319576213, ""op_names"": [""features.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06696648450901435, ""op_names"": [""features.19""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07387631283919326, ""op_names"": [""features.21""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.11312711911768733, ""op_names"": [""features.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1155335035492546, ""op_names"": [""features.26""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1965128527816395, ""op_names"": [""features.28""], ""op_types"": [""Conv2d""]}]"
