sparsity,performance,config_list
0.3,0.8944,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.03733717173826194}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.15126546923302409}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.17917783804975101}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.21682533953490377}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.24371791702269915}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.28400993164908195}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.2937701018133981}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.3117526378323339}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.33212995850016314}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.4067695795700297}]"
0.3,0.8998,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.04308276039651272}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.07589837847171438}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.12369051146903906}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.12892393658093865}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.1789547405562678}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.17918694856866824}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.1830703267384938}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.31569817185204696}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.3625350543712439}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.399057298423288}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.4220588057663215}]"
0.3,0.9048,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.0599097079229441}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.1508891438401603}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.20713634844263773}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.23162323889039704}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.25943479273559333}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.2946275916989412}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.29494360352706084}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.32896612297036615}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.4797550923274108}]"
0.3,0.8915,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.07788199561079642}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.10373590947744783}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.17065954064045463}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.17543130041746408}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.18028143596129734}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.21522759600579525}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.26803241801820765}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.315579866073627}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.33768070601875533}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.36015252833873584}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.3622967196116055}]"
0.3,0.8919,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.00045096920085726627}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0708061456845183}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.10487772099381393}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.12109543313204062}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.14159301336471905}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.14770461213080077}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.1785543300963024}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.1957789791627816}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.28469115786707977}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.2935230521770872}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.33600085283333964}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.3545034625615383}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.3927097194606165}]"
0.3,0.8885,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.029182995558636037}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.03241913118678277}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.16779325898454264}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.21768447719050377}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.23875665754201256}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.27121376071153463}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.27616510167677466}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.3114318721058865}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.32174688385098127}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.32589897174001353}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.3616622045049498}]"
0.3,0.8942,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.06943936064151035}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.15597296022726656}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.175083135594419}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.2062920674660178}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.22547646411270386}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.23471540087615517}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.29936315083127235}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.3106010258569237}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.33027773699933516}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.4636576563013701}]"
0.3,0.8999,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.06565511756609271}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.0824442109404983}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.08630844325995866}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.15470011177738668}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.16613155274682068}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.18536985191088726}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.21367947519381625}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.28616645357422066}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.34361932715515436}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.37870188147787825}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.4574818558311061}]"
0.3,0.8893,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.07521016336543258}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.09845951809618435}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.12340138639541237}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.1250161199223031}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.1393785091720348}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.16337136628565863}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.1719218134785812}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.17203519884366822}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.22261809829825474}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.2619910904231445}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.3267178471126859}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.4072620852027091}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.45141892378176984}]"
0.3,0.8878,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.06852543529858719}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.08355043618016252}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.0974503148982007}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.1294390806536712}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.15787097169579722}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.22275168176643736}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.22701865996448478}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.23569479152292744}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.2602143462416642}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.2992893284438987}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.41493983813775576}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.4257786698957691}]"
