sparsity,performance,config_list
0.4,0.8858,"[{""op_names"": [""features.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0029687466214753716}, {""op_names"": [""features.5""], ""op_types"": [""Conv2d""], ""sparsity"": 0.05360866331044689}, {""op_names"": [""features.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07841974615879009}, {""op_names"": [""features.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08687802057189421}, {""op_names"": [""features.12""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09951589402035925}, {""op_names"": [""features.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1881768585361097}, {""op_names"": [""features.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.19324601747991277}, {""op_names"": [""features.19""], ""op_types"": [""Conv2d""], ""sparsity"": 0.20407876591039026}, {""op_names"": [""features.21""], ""op_types"": [""Conv2d""], ""sparsity"": 0.41922525102066205}, {""op_names"": [""features.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.42274724110776374}, {""op_names"": [""features.26""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5216225022672257}, {""op_names"": [""features.28""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7403424801881331}]"
0.4,0.7439,"[{""op_names"": [""features.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.5""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.12""], ""op_types"": [""Conv2d""], ""sparsity"": 0.006626537444619923}, {""op_names"": [""features.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.06287387237817796}, {""op_names"": [""features.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.12388959081539033}, {""op_names"": [""features.19""], ""op_types"": [""Conv2d""], ""sparsity"": 0.17388167730467927}, {""op_names"": [""features.21""], ""op_types"": [""Conv2d""], ""sparsity"": 0.238968819269214}, {""op_names"": [""features.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.4186785275350064}, {""op_names"": [""features.26""], ""op_types"": [""Conv2d""], ""sparsity"": 0.664323706597027}, {""op_names"": [""features.28""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9188722678668498}]"
0.4,0.8898,"[{""op_names"": [""features.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.5""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.021718060171791703}, {""op_names"": [""features.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03448223219749067}, {""op_names"": [""features.12""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04983389147992962}, {""op_names"": [""features.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07971611286635552}, {""op_names"": [""features.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.23783556890229876}, {""op_names"": [""features.19""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2520367173229098}, {""op_names"": [""features.21""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3168023088949276}, {""op_names"": [""features.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.36239847482352666}, {""op_names"": [""features.26""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5523373487909716}, {""op_names"": [""features.28""], ""op_types"": [""Conv2d""], ""sparsity"": 0.853497694639312}]"
0.4,0.8949,"[{""op_names"": [""features.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.5""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.020309313880135235}, {""op_names"": [""features.12""], ""op_types"": [""Conv2d""], ""sparsity"": 0.15124348428475298}, {""op_names"": [""features.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1689506525852045}, {""op_names"": [""features.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2046851469137502}, {""op_names"": [""features.19""], ""op_types"": [""Conv2d""], ""sparsity"": 0.28060659891867207}, {""op_names"": [""features.21""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3724144731652598}, {""op_names"": [""features.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.39234211594834845}, {""op_names"": [""features.26""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6085439734737205}, {""op_names"": [""features.28""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6552082986034312}]"
0.4,0.8713,"[{""op_names"": [""features.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.036021365090532706}, {""op_names"": [""features.5""], ""op_types"": [""Conv2d""], ""sparsity"": 0.05662670192428516}, {""op_names"": [""features.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.12158609901990523}, {""op_names"": [""features.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14621596325993588}, {""op_names"": [""features.12""], ""op_types"": [""Conv2d""], ""sparsity"": 0.16653828592523762}, {""op_names"": [""features.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1940387643203767}, {""op_names"": [""features.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1997140779886079}, {""op_names"": [""features.19""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2632978927967631}, {""op_names"": [""features.21""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2932313242644196}, {""op_names"": [""features.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.31258841609109356}, {""op_names"": [""features.26""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6601425769801909}, {""op_names"": [""features.28""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7465746405812982}]"
0.4,0.8713,"[{""op_names"": [""features.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.5""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03591579329555582}, {""op_names"": [""features.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08485271395737573}, {""op_names"": [""features.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10324990969173858}, {""op_names"": [""features.12""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10798024129685979}, {""op_names"": [""features.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.11841732618945881}, {""op_names"": [""features.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14698233739662622}, {""op_names"": [""features.19""], ""op_types"": [""Conv2d""], ""sparsity"": 0.21807729540952778}, {""op_names"": [""features.21""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2687008258833741}, {""op_names"": [""features.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2859933946892161}, {""op_names"": [""features.26""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7591900882259923}, {""op_names"": [""features.28""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8126612671331277}]"
0.4,0.8617,"[{""op_names"": [""features.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.01558990165123426}, {""op_names"": [""features.2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.02760322149705004}, {""op_names"": [""features.5""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04104182731399624}, {""op_names"": [""features.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08812629936069928}, {""op_names"": [""features.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09271859781707319}, {""op_names"": [""features.12""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14829981587701568}, {""op_names"": [""features.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1527330993516191}, {""op_names"": [""features.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.17100935942095816}, {""op_names"": [""features.19""], ""op_types"": [""Conv2d""], ""sparsity"": 0.17795648076231754}, {""op_names"": [""features.21""], ""op_types"": [""Conv2d""], ""sparsity"": 0.25888964193289904}, {""op_names"": [""features.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.30234108622948186}, {""op_names"": [""features.26""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7577559001219646}, {""op_names"": [""features.28""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8175164201565079}]"
0.4,0.8964,"[{""op_names"": [""features.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.5""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0009837203423042795}, {""op_names"": [""features.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.013766322073497856}, {""op_names"": [""features.12""], ""op_types"": [""Conv2d""], ""sparsity"": 0.025429345872254913}, {""op_names"": [""features.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14017025067928893}, {""op_names"": [""features.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2743475567320304}, {""op_names"": [""features.19""], ""op_types"": [""Conv2d""], ""sparsity"": 0.28370669446646807}, {""op_names"": [""features.21""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3491205704988748}, {""op_names"": [""features.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.36817805645096174}, {""op_names"": [""features.26""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5868656317725081}, {""op_names"": [""features.28""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7258179728812894}]"
0.4,0.8938,"[{""op_names"": [""features.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.5""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0}, {""op_names"": [""features.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.032754309440755025}, {""op_names"": [""features.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04492872623538758}, {""op_names"": [""features.12""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07828630767067343}, {""op_names"": [""features.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2644776572958305}, {""op_names"": [""features.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2923487356349409}, {""op_names"": [""features.19""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3076275894659555}, {""op_names"": [""features.21""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3751165357914294}, {""op_names"": [""features.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.39283185238603235}, {""op_names"": [""features.26""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5859512853126942}, {""op_names"": [""features.28""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5929888837193171}]"
0.4,0.8907,"[{""op_names"": [""features.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.037975499091843834}, {""op_names"": [""features.2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.054277844729196785}, {""op_names"": [""features.5""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07517723587498445}, {""op_names"": [""features.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.11105796599317833}, {""op_names"": [""features.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.11891432626084307}, {""op_names"": [""features.12""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1492892814810942}, {""op_names"": [""features.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1538608939045706}, {""op_names"": [""features.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.19642044601318645}, {""op_names"": [""features.19""], ""op_types"": [""Conv2d""], ""sparsity"": 0.33232156172213023}, {""op_names"": [""features.21""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3839520770246424}, {""op_names"": [""features.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.4550054108746572}, {""op_names"": [""features.26""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5250497852285645}, {""op_names"": [""features.28""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5986892137075166}]"
