sparsity,performance,config_list
0.2,0.9153,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.0015877371781226799}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.019496269079562322}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.02071522304262413}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.02538730057033271}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.07464304493749951}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.08304722190952685}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.08609919018276131}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.21500539751580744}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.28793737864139535}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.2912492246220088}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.29634367235551734}]"
0.2,0.9174,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.028060380116437626}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.06256405254755815}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.06580240741525901}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.08571068285506735}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.17366438016317526}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.22515341047390156}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.23206354689529965}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.2641102698084266}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.27357666236823863}]"
0.2,0.9169,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.046303722269048504}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.12349671960238423}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.15873849352337896}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.16557523309249306}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.1668502803354312}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.18027127482287827}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.2631165319202928}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.3493903015687103}]"
0.2,0.9154,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.034736108764580824}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.054226684338426645}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.06584247937474029}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.06595180114052282}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.08672887605215875}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.144443925520779}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.14861423741932395}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.2079262772521126}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.28248427016758126}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.3782918905306767}]"
0.2,0.9125,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.014521362802329076}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.04898159140733789}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.06588957487800819}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.07830877887321804}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.15664812925137697}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.15772774467957823}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.16414280891970962}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.18491242671364774}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.2342818822561518}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.24275558834177965}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.27157556027860585}]"
0.2,0.9144,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.04164308048165322}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.054286057564026054}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.05560043123182538}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.1308150648610243}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.18269723454330328}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.19150506246853943}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.20264389546302544}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.20354812722259238}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.2189136156546542}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.2830711446525586}]"
0.2,0.9134,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.011952061531597573}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.03406569397082136}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.09708286441433185}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.09715242212875232}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.09833330958116149}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.12500525918379318}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.13016667527215842}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.16318004857455018}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.17044644244506985}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.28069463909957676}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.3765230693445728}]"
0.2,0.9172,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.010057359714544162}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.04068251824937907}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.06118763547942875}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.1269823850867989}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.15071907531801984}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.16140542868731073}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.1654800005521768}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.222810539341808}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.24398334430061774}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.3252280913141829}]"
0.2,0.9155,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0013406763705988897}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.032716870250772453}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.0450384538472836}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.05641707890503748}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.07066767697776727}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.09658032156788643}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.10509894206467414}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.11124975878496894}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.14148401504872782}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.2208885834869312}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.27058156329313626}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.39754762740213334}]"
0.2,0.9174,"[{""op_types"": [""Conv2d""], ""op_names"": [""features.0""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.2""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.5""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.7""], ""sparsity"": 0.0}, {""op_types"": [""Conv2d""], ""op_names"": [""features.10""], ""sparsity"": 0.021279805120479448}, {""op_types"": [""Conv2d""], ""op_names"": [""features.12""], ""sparsity"": 0.059314617481605526}, {""op_types"": [""Conv2d""], ""op_names"": [""features.14""], ""sparsity"": 0.0877638614879547}, {""op_types"": [""Conv2d""], ""op_names"": [""features.17""], ""sparsity"": 0.0919757247463455}, {""op_types"": [""Conv2d""], ""op_names"": [""features.19""], ""sparsity"": 0.10054698553185688}, {""op_types"": [""Conv2d""], ""op_names"": [""features.21""], ""sparsity"": 0.15440438743835383}, {""op_types"": [""Conv2d""], ""op_names"": [""features.24""], ""sparsity"": 0.2578172144725826}, {""op_types"": [""Conv2d""], ""op_names"": [""features.26""], ""sparsity"": 0.26429080694785856}, {""op_types"": [""Conv2d""], ""op_names"": [""features.28""], ""sparsity"": 0.384545598469976}]"
