sparsity,performance,config_list
0.5,0.7333,"[{""sparsity"": 0.05152160016474444, ""op_types"": [""Conv2d""], ""op_names"": [""features.0""]}, {""sparsity"": 0.0912322867396255, ""op_types"": [""Conv2d""], ""op_names"": [""features.2""]}, {""sparsity"": 0.11929375519521734, ""op_types"": [""Conv2d""], ""op_names"": [""features.5""]}, {""sparsity"": 0.16814497994772143, ""op_types"": [""Conv2d""], ""op_names"": [""features.7""]}, {""sparsity"": 0.21652951163084597, ""op_types"": [""Conv2d""], ""op_names"": [""features.10""]}, {""sparsity"": 0.2568383343058471, ""op_types"": [""Conv2d""], ""op_names"": [""features.12""]}, {""sparsity"": 0.321053801766234, ""op_types"": [""Conv2d""], ""op_names"": [""features.14""]}, {""sparsity"": 0.3785750624930086, ""op_types"": [""Conv2d""], ""op_names"": [""features.17""]}, {""sparsity"": 0.4218366406940388, ""op_types"": [""Conv2d""], ""op_names"": [""features.19""]}, {""sparsity"": 0.44340025061666977, ""op_types"": [""Conv2d""], ""op_names"": [""features.21""]}, {""sparsity"": 0.5349775479164394, ""op_types"": [""Conv2d""], ""op_names"": [""features.24""]}, {""sparsity"": 0.6174278419968008, ""op_types"": [""Conv2d""], ""op_names"": [""features.26""]}, {""sparsity"": 0.7233870707283286, ""op_types"": [""Conv2d""], ""op_names"": [""features.28""]}]"
0.5,0.7777,"[{""sparsity"": 0.03837580999232309, ""op_types"": [""Conv2d""], ""op_names"": [""features.0""]}, {""sparsity"": 0.0796610163611567, ""op_types"": [""Conv2d""], ""op_names"": [""features.2""]}, {""sparsity"": 0.1106145800989138, ""op_types"": [""Conv2d""], ""op_names"": [""features.5""]}, {""sparsity"": 0.14687120139558318, ""op_types"": [""Conv2d""], ""op_names"": [""features.7""]}, {""sparsity"": 0.14920455810536645, ""op_types"": [""Conv2d""], ""op_names"": [""features.10""]}, {""sparsity"": 0.24323868444715085, ""op_types"": [""Conv2d""], ""op_names"": [""features.12""]}, {""sparsity"": 0.2547241641879593, ""op_types"": [""Conv2d""], ""op_names"": [""features.14""]}, {""sparsity"": 0.38530460780348175, ""op_types"": [""Conv2d""], ""op_names"": [""features.17""]}, {""sparsity"": 0.47276386567606465, ""op_types"": [""Conv2d""], ""op_names"": [""features.19""]}, {""sparsity"": 0.47856500902100046, ""op_types"": [""Conv2d""], ""op_names"": [""features.21""]}, {""sparsity"": 0.5566251659295288, ""op_types"": [""Conv2d""], ""op_names"": [""features.24""]}, {""sparsity"": 0.5888011124971073, ""op_types"": [""Conv2d""], ""op_names"": [""features.26""]}, {""sparsity"": 0.6710982326883547, ""op_types"": [""Conv2d""], ""op_names"": [""features.28""]}]"
0.5,0.6959,"[{""sparsity"": 0.0, ""op_types"": [""Conv2d""], ""op_names"": [""features.0""]}, {""sparsity"": 0.02265699245150533, ""op_types"": [""Conv2d""], ""op_names"": [""features.2""]}, {""sparsity"": 0.08627982290213136, ""op_types"": [""Conv2d""], ""op_names"": [""features.5""]}, {""sparsity"": 0.20520076184531005, ""op_types"": [""Conv2d""], ""op_names"": [""features.7""]}, {""sparsity"": 0.22416799261724435, ""op_types"": [""Conv2d""], ""op_names"": [""features.10""]}, {""sparsity"": 0.26991663036260166, ""op_types"": [""Conv2d""], ""op_names"": [""features.12""]}, {""sparsity"": 0.2739470720613791, ""op_types"": [""Conv2d""], ""op_names"": [""features.14""]}, {""sparsity"": 0.2953754241231514, ""op_types"": [""Conv2d""], ""op_names"": [""features.17""]}, {""sparsity"": 0.40800820759902134, ""op_types"": [""Conv2d""], ""op_names"": [""features.19""]}, {""sparsity"": 0.44036737024308836, ""op_types"": [""Conv2d""], ""op_names"": [""features.21""]}, {""sparsity"": 0.4623091804430547, ""op_types"": [""Conv2d""], ""op_names"": [""features.24""]}, {""sparsity"": 0.7098997665590431, ""op_types"": [""Conv2d""], ""op_names"": [""features.26""]}, {""sparsity"": 0.7694213344913525, ""op_types"": [""Conv2d""], ""op_names"": [""features.28""]}]"
0.5,0.5891,"[{""sparsity"": 0.041518366445683685, ""op_types"": [""Conv2d""], ""op_names"": [""features.0""]}, {""sparsity"": 0.07772806193007721, ""op_types"": [""Conv2d""], ""op_names"": [""features.2""]}, {""sparsity"": 0.17658266597281774, ""op_types"": [""Conv2d""], ""op_names"": [""features.5""]}, {""sparsity"": 0.19303205102124396, ""op_types"": [""Conv2d""], ""op_names"": [""features.7""]}, {""sparsity"": 0.19656973369546366, ""op_types"": [""Conv2d""], ""op_names"": [""features.10""]}, {""sparsity"": 0.23592013268338113, ""op_types"": [""Conv2d""], ""op_names"": [""features.12""]}, {""sparsity"": 0.25561495436409276, ""op_types"": [""Conv2d""], ""op_names"": [""features.14""]}, {""sparsity"": 0.28938982298996824, ""op_types"": [""Conv2d""], ""op_names"": [""features.17""]}, {""sparsity"": 0.36256225065875286, ""op_types"": [""Conv2d""], ""op_names"": [""features.19""]}, {""sparsity"": 0.43679713899102807, ""op_types"": [""Conv2d""], ""op_names"": [""features.21""]}, {""sparsity"": 0.46201174186510335, ""op_types"": [""Conv2d""], ""op_names"": [""features.24""]}, {""sparsity"": 0.6233298414194423, ""op_types"": [""Conv2d""], ""op_names"": [""features.26""]}, {""sparsity"": 0.921877486934658, ""op_types"": [""Conv2d""], ""op_names"": [""features.28""]}]"
0.5,0.3699,"[{""sparsity"": 0.0, ""op_types"": [""Conv2d""], ""op_names"": [""features.0""]}, {""sparsity"": 0.04225183924006552, ""op_types"": [""Conv2d""], ""op_names"": [""features.2""]}, {""sparsity"": 0.045119901237192304, ""op_types"": [""Conv2d""], ""op_names"": [""features.5""]}, {""sparsity"": 0.05941867564981308, ""op_types"": [""Conv2d""], ""op_names"": [""features.7""]}, {""sparsity"": 0.1849449244963186, ""op_types"": [""Conv2d""], ""op_names"": [""features.10""]}, {""sparsity"": 0.20222279698958034, ""op_types"": [""Conv2d""], ""op_names"": [""features.12""]}, {""sparsity"": 0.2761839707269688, ""op_types"": [""Conv2d""], ""op_names"": [""features.14""]}, {""sparsity"": 0.31355375184683454, ""op_types"": [""Conv2d""], ""op_names"": [""features.17""]}, {""sparsity"": 0.3228351391543207, ""op_types"": [""Conv2d""], ""op_names"": [""features.19""]}, {""sparsity"": 0.43485321686800227, ""op_types"": [""Conv2d""], ""op_names"": [""features.21""]}, {""sparsity"": 0.46045404647621346, ""op_types"": [""Conv2d""], ""op_names"": [""features.24""]}, {""sparsity"": 0.6145232712674732, ""op_types"": [""Conv2d""], ""op_names"": [""features.26""]}, {""sparsity"": 0.9796100952767866, ""op_types"": [""Conv2d""], ""op_names"": [""features.28""]}]"
0.5,0.6128,"[{""sparsity"": 0.0, ""op_types"": [""Conv2d""], ""op_names"": [""features.0""]}, {""sparsity"": 0.0, ""op_types"": [""Conv2d""], ""op_names"": [""features.2""]}, {""sparsity"": 0.04285773072643262, ""op_types"": [""Conv2d""], ""op_names"": [""features.5""]}, {""sparsity"": 0.11506429134921767, ""op_types"": [""Conv2d""], ""op_names"": [""features.7""]}, {""sparsity"": 0.14437997435321087, ""op_types"": [""Conv2d""], ""op_names"": [""features.10""]}, {""sparsity"": 0.19393806380398945, ""op_types"": [""Conv2d""], ""op_names"": [""features.12""]}, {""sparsity"": 0.19735941096491602, ""op_types"": [""Conv2d""], ""op_names"": [""features.14""]}, {""sparsity"": 0.26197206924401706, ""op_types"": [""Conv2d""], ""op_names"": [""features.17""]}, {""sparsity"": 0.36708655874478446, ""op_types"": [""Conv2d""], ""op_names"": [""features.19""]}, {""sparsity"": 0.3720978149193998, ""op_types"": [""Conv2d""], ""op_names"": [""features.21""]}, {""sparsity"": 0.42550867592061864, ""op_types"": [""Conv2d""], ""op_names"": [""features.24""]}, {""sparsity"": 0.779126036315986, ""op_types"": [""Conv2d""], ""op_names"": [""features.26""]}, {""sparsity"": 0.9183485391093212, ""op_types"": [""Conv2d""], ""op_names"": [""features.28""]}]"
0.5,0.5072,"[{""sparsity"": 0.0, ""op_types"": [""Conv2d""], ""op_names"": [""features.0""]}, {""sparsity"": 0.0, ""op_types"": [""Conv2d""], ""op_names"": [""features.2""]}, {""sparsity"": 0.04058986076694868, ""op_types"": [""Conv2d""], ""op_names"": [""features.5""]}, {""sparsity"": 0.09633924310572083, ""op_types"": [""Conv2d""], ""op_names"": [""features.7""]}, {""sparsity"": 0.15067427526033178, ""op_types"": [""Conv2d""], ""op_names"": [""features.10""]}, {""sparsity"": 0.16630537948993088, ""op_types"": [""Conv2d""], ""op_names"": [""features.12""]}, {""sparsity"": 0.22539248332262735, ""op_types"": [""Conv2d""], ""op_names"": [""features.14""]}, {""sparsity"": 0.23019204126263795, ""op_types"": [""Conv2d""], ""op_names"": [""features.17""]}, {""sparsity"": 0.2657474195910336, ""op_types"": [""Conv2d""], ""op_names"": [""features.19""]}, {""sparsity"": 0.3197498920150232, ""op_types"": [""Conv2d""], ""op_names"": [""features.21""]}, {""sparsity"": 0.544596870806463, ""op_types"": [""Conv2d""], ""op_names"": [""features.24""]}, {""sparsity"": 0.8563961671685301, ""op_types"": [""Conv2d""], ""op_names"": [""features.26""]}, {""sparsity"": 0.8919220651051739, ""op_types"": [""Conv2d""], ""op_names"": [""features.28""]}]"
0.5,0.6365,"[{""sparsity"": 0.0, ""op_types"": [""Conv2d""], ""op_names"": [""features.0""]}, {""sparsity"": 0.0, ""op_types"": [""Conv2d""], ""op_names"": [""features.2""]}, {""sparsity"": 0.0, ""op_types"": [""Conv2d""], ""op_names"": [""features.5""]}, {""sparsity"": 0.1021764308766832, ""op_types"": [""Conv2d""], ""op_names"": [""features.7""]}, {""sparsity"": 0.14046194333505715, ""op_types"": [""Conv2d""], ""op_names"": [""features.10""]}, {""sparsity"": 0.1476208966462699, ""op_types"": [""Conv2d""], ""op_names"": [""features.12""]}, {""sparsity"": 0.18451810843154462, ""op_types"": [""Conv2d""], ""op_names"": [""features.14""]}, {""sparsity"": 0.1955910696725838, ""op_types"": [""Conv2d""], ""op_names"": [""features.17""]}, {""sparsity"": 0.24559878336242594, ""op_types"": [""Conv2d""], ""op_names"": [""features.19""]}, {""sparsity"": 0.36875061046170293, ""op_types"": [""Conv2d""], ""op_names"": [""features.21""]}, {""sparsity"": 0.5851439186064428, ""op_types"": [""Conv2d""], ""op_names"": [""features.24""]}, {""sparsity"": 0.8243537968410318, ""op_types"": [""Conv2d""], ""op_names"": [""features.26""]}, {""sparsity"": 0.8889342551569571, ""op_types"": [""Conv2d""], ""op_names"": [""features.28""]}]"
0.5,0.375,"[{""sparsity"": 0.0, ""op_types"": [""Conv2d""], ""op_names"": [""features.0""]}, {""sparsity"": 0.0, ""op_types"": [""Conv2d""], ""op_names"": [""features.2""]}, {""sparsity"": 0.015708294443970625, ""op_types"": [""Conv2d""], ""op_names"": [""features.5""]}, {""sparsity"": 0.029307079735652972, ""op_types"": [""Conv2d""], ""op_names"": [""features.7""]}, {""sparsity"": 0.1285279791882784, ""op_types"": [""Conv2d""], ""op_names"": [""features.10""]}, {""sparsity"": 0.14846003004608685, ""op_types"": [""Conv2d""], ""op_names"": [""features.12""]}, {""sparsity"": 0.15899466361855982, ""op_types"": [""Conv2d""], ""op_names"": [""features.14""]}, {""sparsity"": 0.18384651168542349, ""op_types"": [""Conv2d""], ""op_names"": [""features.17""]}, {""sparsity"": 0.2090182539391522, ""op_types"": [""Conv2d""], ""op_names"": [""features.19""]}, {""sparsity"": 0.44444235551235184, ""op_types"": [""Conv2d""], ""op_names"": [""features.21""]}, {""sparsity"": 0.4727555447695475, ""op_types"": [""Conv2d""], ""op_names"": [""features.24""]}, {""sparsity"": 0.8895914529981639, ""op_types"": [""Conv2d""], ""op_names"": [""features.26""]}, {""sparsity"": 0.9145729094487143, ""op_types"": [""Conv2d""], ""op_names"": [""features.28""]}]"
0.5,0.5322,"[{""sparsity"": 0.0, ""op_types"": [""Conv2d""], ""op_names"": [""features.0""]}, {""sparsity"": 0.01750264541096049, ""op_types"": [""Conv2d""], ""op_names"": [""features.2""]}, {""sparsity"": 0.050965860097990937, ""op_types"": [""Conv2d""], ""op_names"": [""features.5""]}, {""sparsity"": 0.09989183259193625, ""op_types"": [""Conv2d""], ""op_names"": [""features.7""]}, {""sparsity"": 0.10456069912464377, ""op_types"": [""Conv2d""], ""op_names"": [""features.10""]}, {""sparsity"": 0.16787098054208413, ""op_types"": [""Conv2d""], ""op_names"": [""features.12""]}, {""sparsity"": 0.17729492118946313, ""op_types"": [""Conv2d""], ""op_names"": [""features.14""]}, {""sparsity"": 0.1904299306239825, ""op_types"": [""Conv2d""], ""op_names"": [""features.17""]}, {""sparsity"": 0.24661386747155392, ""op_types"": [""Conv2d""], ""op_names"": [""features.19""]}, {""sparsity"": 0.40261211324429047, ""op_types"": [""Conv2d""], ""op_names"": [""features.21""]}, {""sparsity"": 0.5187557798679003, ""op_types"": [""Conv2d""], ""op_names"": [""features.24""]}, {""sparsity"": 0.8640146068998326, ""op_types"": [""Conv2d""], ""op_names"": [""features.26""]}, {""sparsity"": 0.8828742369724484, ""op_types"": [""Conv2d""], ""op_names"": [""features.28""]}]"
